created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2024-04-24T12:27:34+00:00,1,6.00000,3.00000,3.00000,,,,
2024-04-24T12:27:50+00:00,2,5.00000,3.00000,4.00000,,,,
2024-04-24T12:28:05+00:00,3,7.00000,4.00000,4.00000,,,,
2024-04-24T12:28:21+00:00,4,8.00000,5.00000,3.00000,,,,
2024-04-24T12:28:37+00:00,5,5.00000,4.00000,3.00000,,,,
2024-04-24T12:28:52+00:00,6,5.00000,4.00000,3.00000,,,,
2024-04-24T12:29:08+00:00,7,96.00000,4.00000,4.00000,,,,
2024-04-24T12:29:24+00:00,8,97.00000,4.00000,3.00000,,,,
2024-04-24T12:29:39+00:00,9,98.00000,90.00000,4.00000,,,,
2024-04-24T12:29:55+00:00,10,98.00000,80.00000,3.00000,,,,
2024-04-24T12:30:11+00:00,11,100.00000,78.00000,87.00000,,,,
2024-04-24T12:30:26+00:00,12,95.00000,75.00000,87.00000,,,,
2024-04-24T12:30:42+00:00,13,97.00000,75.00000,87.00000,,,,
2024-04-24T12:30:57+00:00,14,95.00000,74.00000,83.00000,,,,
2024-04-24T12:31:13+00:00,15,95.00000,74.00000,80.00000,,,,
2024-04-24T12:31:29+00:00,16,93.00000,72.00000,79.00000,,,,
2024-04-24T12:31:44+00:00,17,95.00000,73.00000,80.00000,,,,
2024-04-24T12:32:00+00:00,18,94.00000,73.00000,79.00000,,,,
2024-04-24T12:32:16+00:00,19,95.00000,73.00000,77.00000,,,,
2024-04-24T12:32:31+00:00,20,95.00000,74.00000,82.00000,,,,
2024-04-24T12:32:47+00:00,21,95.00000,72.00000,79.00000,,,,
2024-04-24T12:33:03+00:00,22,94.00000,75.00000,79.00000,,,,
2024-04-24T12:33:18+00:00,23,94.00000,73.00000,76.00000,,,,
2024-04-24T12:33:34+00:00,24,96.00000,73.00000,77.00000,,,,
2024-04-24T12:33:50+00:00,25,96.00000,73.00000,77.00000,,,,
2024-04-24T12:34:05+00:00,26,93.00000,73.00000,76.00000,,,,
2024-04-24T12:34:21+00:00,27,94.00000,71.00000,78.00000,,,,
2024-04-24T12:34:37+00:00,28,96.00000,73.00000,73.00000,,,,
2024-04-24T12:34:52+00:00,29,95.00000,70.00000,73.00000,,,,
2024-04-24T12:35:08+00:00,30,93.00000,75.00000,76.00000,,,,
2024-04-24T12:35:24+00:00,31,92.00000,73.00000,77.00000,,,,
2024-04-24T12:35:39+00:00,32,96.00000,75.00000,73.00000,,,,
2024-04-24T12:35:55+00:00,33,93.00000,70.00000,76.00000,,,,
2024-04-24T12:36:10+00:00,34,94.00000,70.00000,77.00000,,,,
2024-04-24T12:36:26+00:00,35,93.00000,72.00000,75.00000,,,,
2024-04-24T12:36:42+00:00,36,94.00000,70.00000,74.00000,,,,
2024-04-24T12:36:57+00:00,37,94.00000,74.00000,78.00000,,,,
2024-04-24T12:37:13+00:00,38,97.00000,75.00000,75.00000,,,,
2024-04-24T12:37:29+00:00,39,93.00000,75.00000,74.00000,,,,
2024-04-24T12:37:44+00:00,40,94.00000,75.00000,76.00000,,,,
2024-04-24T12:38:00+00:00,41,94.00000,73.00000,73.00000,,,,
2024-04-24T12:38:15+00:00,42,95.00000,72.00000,75.00000,,,,
2024-04-24T12:38:31+00:00,43,95.00000,72.00000,76.00000,,,,
2024-04-24T12:38:47+00:00,44,95.00000,71.00000,73.00000,,,,
2024-04-24T12:39:02+00:00,45,94.00000,75.00000,71.00000,,,,
2024-04-24T12:39:18+00:00,46,96.00000,74.00000,77.00000,,,,
2024-04-24T12:39:34+00:00,47,96.00000,75.00000,70.00000,,,,
2024-04-24T12:39:49+00:00,48,89.00000,72.00000,73.00000,,,,
2024-04-24T12:40:05+00:00,49,96.00000,70.00000,73.00000,,,,
2024-04-24T12:40:21+00:00,50,93.00000,68.00000,73.00000,,,,
2024-04-24T12:40:36+00:00,51,94.00000,72.00000,75.00000,,,,
2024-04-24T12:40:52+00:00,52,92.00000,74.00000,74.00000,,,,
2024-04-24T12:41:08+00:00,53,99.00000,73.00000,73.00000,,,,
2024-04-24T12:41:23+00:00,54,96.00000,74.00000,75.00000,,,,
2024-04-24T12:41:39+00:00,55,93.00000,73.00000,76.00000,,,,
2024-04-24T12:41:54+00:00,56,95.00000,74.00000,75.00000,,,,
2024-04-24T12:42:10+00:00,57,92.00000,70.00000,73.00000,,,,
2024-04-24T12:42:26+00:00,58,95.00000,71.00000,70.00000,,,,
2024-04-24T12:42:41+00:00,59,95.00000,70.00000,70.00000,,,,
