field,time
3.0,0
4.0,16
4.0,31
3.0,47
3.0,63
3.0,78
4.0,94
3.0,110
4.0,125
3.0,141
87.0,157
87.0,172
87.0,188
83.0,203
80.0,219
79.0,235
80.0,250
79.0,266
77.0,282
82.0,297
79.0,313
79.0,329
76.0,344
77.0,360
77.0,376
76.0,391
78.0,407
73.0,423
73.0,438
76.0,454
77.0,470
73.0,485
76.0,501
77.0,516
75.0,532
74.0,548
78.0,563
75.0,579
74.0,595
76.0,610
73.0,626
75.0,641
76.0,657
73.0,673
71.0,688
77.0,704
70.0,720
73.0,735
73.0,751
73.0,767
75.0,782
74.0,798
73.0,814
75.0,829
76.0,845
75.0,860
73.0,876
70.0,892
70.0,907
75.0,923
75.0,939
69.0,954
75.0,970
71.0,986
71.0,1001
75.0,1017
74.0,1032
75.0,1048
71.0,1064
75.0,1079
73.0,1095
70.0,1110
71.0,1126
69.0,1142
70.0,1157
69.0,1173
72.0,1189
69.0,1204
75.0,1220
68.0,1235
74.0,1251
69.0,1267
74.0,1282
68.0,1298
71.0,1314
69.0,1329
74.0,1345
74.0,1360
70.0,1376
68.0,1392
73.0,1407
72.0,1423
73.0,1439
71.0,1454
68.0,1470
72.0,1486
71.0,1501
72.0,1517
72.0,1533
73.0,1548
68.0,1564
71.0,1580
71.0,1595
68.0,1611
68.0,1626
68.0,1642
70.0,1658
68.0,1673
68.0,1689
69.0,1705
68.0,1720
73.0,1736
68.0,1752
68.0,1767
73.0,1783
68.0,1798
73.0,1814
69.0,1830
71.0,1845
72.0,1861
67.0,1877
69.0,1892
70.0,1908
70.0,1923
73.0,1939
69.0,1955
67.0,1970
68.0,1986
68.0,2002
73.0,2017
70.0,2033
68.0,2048
67.0,2064
71.0,2080
73.0,2095
72.0,2111
69.0,2127
71.0,2142
69.0,2158
67.0,2174
68.0,2189
70.0,2205
69.0,2220
67.0,2236
68.0,2252
70.0,2267
67.0,2283
65.0,2299
71.0,2314
70.0,2330
68.0,2346
68.0,2362
72.0,2377
68.0,2393
69.0,2408
69.0,2424
70.0,2440
71.0,2455
68.0,2471
67.0,2487
72.0,2502
70.0,2518
64.0,2534
73.0,2549
69.0,2565
71.0,2580
71.0,2596
72.0,2612
69.0,2627
68.0,2643
69.0,2658
67.0,2674
71.0,2690
69.0,2705
69.0,2721
67.0,2737
67.0,2752
67.0,2768
67.0,2783
71.0,2799
71.0,2815
68.0,2830
67.0,2846
70.0,2862
71.0,2877
69.0,2893
69.0,2908
67.0,2924
67.0,2940
72.0,2955
67.0,2971
70.0,2987
70.0,3002
69.0,3018
70.0,3034
71.0,3049
71.0,3065
66.0,3080
71.0,3096
68.0,3111
71.0,3127
67.0,3143
66.0,3158
66.0,3174
69.0,3190
66.0,3205
68.0,3221
70.0,3236
72.0,3252
69.0,3268
67.0,3283
72.0,3299
65.0,3315
68.0,3330
68.0,3346
67.0,3362
65.0,3377
71.0,3393
71.0,3408
67.0,3424
69.0,3440
67.0,3455
71.0,3471
71.0,3486
67.0,3502
68.0,3518
68.0,3533
69.0,3549
65.0,3564
65.0,3580
67.0,3596
66.0,3611
67.0,3627
66.0,3643
70.0,3658
69.0,3674
70.0,3689
72.0,3705
65.0,3721
71.0,3736
67.0,3752
66.0,3768
71.0,3783
66.0,3799
66.0,3814
70.0,3830
69.0,3846
67.0,3861
66.0,3877
69.0,3893
71.0,3908
66.0,3924
65.0,3939
65.0,3955
71.0,3971
67.0,3986
67.0,4002
71.0,4018
70.0,4033
70.0,4049
68.0,4065
69.0,4080
71.0,4096
65.0,4112
68.0,4127
69.0,4143
69.0,4159
69.0,4174
65.0,4190
67.0,4206
66.0,4221
71.0,4237
71.0,4252
66.0,4268
69.0,4284
70.0,4299
68.0,4315
70.0,4330
68.0,4346
68.0,4362
69.0,4378
65.0,4393
70.0,4409
69.0,4424
65.0,4440
70.0,4456
70.0,4471
68.0,4487
68.0,4503
66.0,4518
66.0,4534
69.0,4550
68.0,4565
67.0,4581
65.0,4596
71.0,4612
70.0,4628
67.0,4643
65.0,4659
70.0,4674
67.0,4690
70.0,4706
67.0,4721
67.0,4737
70.0,4752
65.0,4768
68.0,4784
71.0,4799
70.0,4815
68.0,4830
69.0,4846
65.0,4862
67.0,4878
69.0,4893
67.0,4909
70.0,4924
67.0,4940
73.0,4956
65.0,4972
65.0,4987
65.0,5003
67.0,5018
70.0,5034
70.0,5050
68.0,5065
69.0,5081
68.0,5097
67.0,5112
66.0,5128
66.0,5144
65.0,5159
66.0,5175
65.0,5191
67.0,5206
66.0,5222
70.0,5237
67.0,5253
65.0,5269
69.0,5284
67.0,5300
66.0,5316
64.0,5331
69.0,5347
66.0,5362
69.0,5378
69.0,5394
67.0,5409
70.0,5425
70.0,5441
67.0,5456
69.0,5472
77.0,5488
66.0,5503
64.0,5519
69.0,5534
65.0,5550
67.0,5566
70.0,5582
69.0,5597
67.0,5613
69.0,5628
69.0,5644
67.0,5660
68.0,5675
66.0,5691
70.0,5707
66.0,5722
69.0,5738
67.0,5754
65.0,5769
70.0,5785
70.0,5800
68.0,5816
65.0,5832
66.0,5847
69.0,5863
69.0,5878
68.0,5894
68.0,5910
69.0,5925
65.0,5941
68.0,5957
68.0,5972
68.0,5988
68.0,6003
65.0,6019
64.0,6035
65.0,6050
67.0,6066
69.0,6082
69.0,6097
66.0,6113
68.0,6129
70.0,6144
67.0,6160
67.0,6176
66.0,6191
65.0,6207
67.0,6223
67.0,6238
66.0,6254
66.0,6270
69.0,6285
66.0,6301
65.0,6317
66.0,6332
69.0,6348
65.0,6363
66.0,6379
70.0,6395
64.0,6410
65.0,6426
69.0,6442
68.0,6457
65.0,6473
69.0,6489
65.0,6504
69.0,6520
68.0,6535
65.0,6551
65.0,6567
66.0,6582
65.0,6598
65.0,6613
64.0,6629
69.0,6645
65.0,6660
61.0,6676
68.0,6692
65.0,6707
69.0,6723
68.0,6739
69.0,6754
69.0,6770
68.0,6786
66.0,6801
68.0,6817
69.0,6833
64.0,6848
67.0,6864
66.0,6880
65.0,6895
67.0,6911
65.0,6926
69.0,6942
67.0,6958
70.0,6973
69.0,6989
73.0,7005
65.0,7020
67.0,7036
69.0,7052
65.0,7067
65.0,7083
65.0,7099
65.0,7114
69.0,7130
65.0,7145
67.0,7161
67.0,7177
64.0,7192
68.0,7208
64.0,7223
68.0,7239
68.0,7255
64.0,7270
75.0,7286
67.0,7301
64.0,7317
69.0,7333
68.0,7348
68.0,7364
70.0,7380
65.0,7395
68.0,7411
67.0,7426
67.0,7442
69.0,7458
69.0,7473
66.0,7489
66.0,7505
68.0,7520
66.0,7536
67.0,7551
67.0,7567
67.0,7583
63.0,7598
66.0,7614
69.0,7630
66.0,7645
64.0,7661
63.0,7676
68.0,7692
